model,dimension,group,n,mse,rmse,mae,error,var_real,var_pred,error_var,r2
Ridge_best,Educación,Superior completa,12427,0.0671,0.259,0.1961,-0.0167,0.102,0.0353,0.0668,0.3426
Ridge_best,Educación,Superior incompleta,8746,0.0931,0.3052,0.2298,0.0302,0.2049,0.1122,0.0922,0.5455
Lasso_best,Educación,Baja,15838,0.0561,0.2368,0.175,0.008,0.0769,0.0348,0.056,0.271
Lasso_best,Educación,Media completa,18009,0.0644,0.2538,0.1881,0.0087,0.1135,0.0439,0.0643,0.4323
Lasso_best,Educación,Media incompleta,10669,0.0826,0.2874,0.2164,0.0086,0.1771,0.0692,0.0825,0.5337
Lasso_best,Educación,Superior completa,12427,0.0728,0.2699,0.2047,-0.0461,0.102,0.0288,0.0707,0.2863
Lasso_best,Educación,Superior incompleta,8746,0.0955,0.3091,0.2325,0.0308,0.2049,0.0921,0.0946,0.5338
MLP_best,Educación,Baja,15838,0.0489,0.2211,0.162,0.0482,0.0769,0.0348,0.0466,0.3647
MLP_best,Educación,Media completa,18009,0.0591,0.2431,0.1806,0.0488,0.1135,0.0596,0.0567,0.479
MLP_best,Educación,Media incompleta,10669,0.0669,0.2587,0.1892,0.0409,0.1771,0.1157,0.0653,0.6222
MLP_best,Educación,Superior completa,12427,0.0643,0.2536,0.1919,0.0669,0.102,0.0496,0.0598,0.3697
MLP_best,Educación,Superior incompleta,8746,0.0768,0.2771,0.2057,0.0513,0.2049,0.1536,0.0741,0.6253
Linear_best,Región,Cuyo,9348,0.0599,0.2448,0.184,0.0048,0.1202,0.0691,0.0599,0.5013
Linear_best,Región,Gran Buenos Aires,8439,0.0838,0.2894,0.2153,-0.0022,0.1589,0.0662,0.0838,0.4725
Linear_best,Región,Noreste,6908,0.0618,0.2486,0.1873,0.0,0.1279,0.0738,0.0618,0.5168
Linear_best,Región,Noroeste,14432,0.0666,0.2581,0.1939,0.0004,0.1397,0.0729,0.0666,0.5233
Linear_best,Región,Pampeana,18450,0.0697,0.2639,0.1969,0.0024,0.137,0.0666,0.0697,0.4916
Linear_best,Región,Patagónica,8112,0.0666,0.2581,0.1913,-0.0011,0.1357,0.0587,0.0666,0.5088
HGB_best,Región,Cuyo,9348,0.0454,0.2132,0.156,0.005,0.1202,0.0755,0.0454,0.6219
HGB_best,Región,Gran Buenos Aires,8439,0.0688,0.2623,0.1904,-0.0012,0.1589,0.0905,0.0688,0.567
HGB_best,Región,Noreste,6908,0.0491,0.2215,0.162,0.0,0.1279,0.079,0.0491,0.6163
HGB_best,Región,Noroeste,14432,0.0521,0.2283,0.1674,0.0011,0.1397,0.085,0.0521,0.6269
HGB_best,Región,Pampeana,18450,0.0565,0.2376,0.1742,0.0027,0.137,0.0815,0.0565,0.5879
HGB_best,Región,Patagónica,8112,0.0538,0.232,0.17,-0.0018,0.1357,0.0826,0.0538,0.6032
Ridge_best,Región,Cuyo,9348,0.0599,0.2448,0.184,0.0048,0.1202,0.0691,0.0599,0.5013
Ridge_best,Región,Gran Buenos Aires,8439,0.0838,0.2894,0.2153,-0.0022,0.1589,0.0662,0.0838,0.4726
Ridge_best,Región,Noreste,6908,0.0618,0.2486,0.1873,0.0,0.1279,0.0738,0.0618,0.5168
Ridge_best,Región,Noroeste,14432,0.0666,0.2581,0.1939,0.0004,0.1397,0.0729,0.0666,0.5233
Ridge_best,Región,Pampeana,18450,0.0697,0.2639,0.1969,0.0024,0.137,0.0666,0.0697,0.4916
Ridge_best,Región,Patagónica,8112,0.0666,0.2581,0.1913,-0.0011,0.1357,0.0587,0.0666,0.5088
Lasso_best,Región,Cuyo,9348,0.0616,0.2482,0.186,0.0074,0.1202,0.0587,0.0616,0.4873
Lasso_best,Región,Gran Buenos Aires,8439,0.0881,0.2969,0.2202,0.012,0.1589,0.0525,0.088,0.4451
Lasso_best,Región,Noreste,6908,0.0642,0.2533,0.1909,-0.0078,0.1279,0.0619,0.0641,0.4983
Lasso_best,Región,Noroeste,14432,0.0693,0.2632,0.197,0.0062,0.1397,0.0618,0.0692,0.504
Lasso_best,Región,Pampeana,18450,0.0723,0.2689,0.2001,0.0024,0.137,0.0557,0.0723,0.4722
Lasso_best,Región,Patagónica,8112,0.0706,0.2657,0.1965,-0.0221,0.1357,0.0493,0.0701,0.4795
MLP_best,Región,Cuyo,9348,0.0523,0.2286,0.1699,0.0472,0.1202,0.0771,0.05,0.565
MLP_best,Región,Gran Buenos Aires,8439,0.0764,0.2764,0.2029,0.0589,0.1589,0.0964,0.073,0.5189
MLP_best,Región,Noreste,6908,0.0556,0.2358,0.1738,0.0476,0.1279,0.0815,0.0533,0.5654
MLP_best,Región,Noroeste,14432,0.0589,0.2427,0.1797,0.0428,0.1397,0.0905,0.0571,0.5783
MLP_best,Región,Pampeana,18450,0.0635,0.2519,0.1865,0.0578,0.137,0.0872,0.0601,0.5369
MLP_best,Región,Patagónica,8112,0.0598,0.2445,0.1831,0.0501,0.1357,0.0851,0.0573,0.5593
