Modelo,Mejores Hiperparámetros,R2 en test,MAE en test,Varianza en test,Error Medio en test,Varianza de Error en test
Linear Regression,{'reg__fit_intercept': True},0.5118966600973331,0.19776913543762892,0.0728194961257469,-6.482974307591802e-05,0.06982555034100084
Ridge,"{'reg__alpha': 2, 'reg__fit_intercept': True}",0.5118818377250128,0.1977744889569705,0.07280793652796036,-5.905985136241151e-05,0.06982767146821506
Lasso,"{'reg__alpha': 0.0025, 'reg__fit_intercept': True}",0.48831087567360987,0.20176810299809536,0.05810406411227212,-0.0003425753325649643,0.07319949825488392
HistGradientBoosting,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.1, 'reg__max_iter': 200, 'reg__max_leaf_nodes': 400, 'reg__min_samples_leaf': 30}",0.6094090399294487,0.17336877880176377,0.08634196477559436,-0.00043748660389412,0.05587574338640886
MLP,"{'reg__batch_size': 64, 'reg__hidden_layer_sizes': (64, 32), 'reg__max_iter': 100}",0.5458102418720587,0.1916956598742701,0.0757011224726148,0.053241921782664445,0.06213934964448818
