modelo,params_filtrados,mean_test_precision,mean_test_accuracy,mean_test_recall,mean_test_f1,mean_test_roc_auc,rank_test_roc_auc
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7844,0.819,0.9337,0.8526,0.8575,20
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7846,0.8196,0.935,0.8532,0.8585,13
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7842,0.8198,0.9361,0.8535,0.8586,11
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7844,0.8202,0.9366,0.8538,0.8594,9
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7842,0.8208,0.9385,0.8545,0.8594,5
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7844,0.8211,0.939,0.8547,0.8602,3
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7842,0.8206,0.9381,0.8543,0.8593,10
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7842,0.8211,0.9392,0.8547,0.8601,4
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7844,0.8192,0.9343,0.8528,0.8577,18
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7845,0.8197,0.9352,0.8532,0.8586,12
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7841,0.8198,0.9363,0.8535,0.8584,14
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7844,0.8204,0.9371,0.854,0.8594,8
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2'}",0.7841,0.8206,0.9384,0.8543,0.8594,6
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2'}",0.7843,0.8212,0.9395,0.8549,0.8602,2
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2'}",0.7842,0.8207,0.9384,0.8544,0.8594,7
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2'}",0.7842,0.8212,0.9394,0.8548,0.8603,1
SVM,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.6832,0.5646,0.7177,0.5689,0.82,2
SVM,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.8032,0.5817,0.3399,0.4679,0.7115,4
SVM,"{'clf__C': 0.1, 'clf__kernel': 'poly'}",0.6809,0.4879,0.4001,0.2879,0.5691,9
SVM,"{'clf__C': 0.1, 'clf__kernel': 'sigmoid'}",0.5604,0.5104,0.6124,0.573,0.5516,10
SVM,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.7153,0.4933,0.4104,0.3076,0.8392,1
SVM,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7698,0.5292,0.2601,0.3837,0.6681,5
SVM,"{'clf__C': 1, 'clf__kernel': 'poly'}",0.6652,0.4963,0.3997,0.2922,0.6055,7
SVM,"{'clf__C': 1, 'clf__kernel': 'sigmoid'}",0.5607,0.5104,0.613,0.5734,0.5498,11
SVM,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.7435,0.4403,0.0023,0.0046,0.7357,3
SVM,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.712,0.5109,0.2712,0.3599,0.6469,6
SVM,"{'clf__C': 10, 'clf__kernel': 'poly'}",0.6354,0.4888,0.3879,0.2858,0.54,12
SVM,"{'clf__C': 10, 'clf__kernel': 'sigmoid'}",0.6105,0.513,0.4065,0.4713,0.5878,8
KNN,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'clf__metric': 'euclidean'}",0.779,0.7797,0.8473,0.8117,0.8139,2
KNN,"{'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'clf__metric': 'euclidean'}",0.781,0.7951,0.8815,0.8282,0.8294,1
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.1, 'clf__min_samples_leaf': 20}",0.8681,0.8832,0.9335,0.8996,0.9531,3
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.1, 'clf__min_samples_leaf': 50}",0.8681,0.8832,0.9334,0.8996,0.9531,1
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': 20, 'clf__learning_rate': 0.1, 'clf__min_samples_leaf': 20}",0.8681,0.8832,0.9335,0.8996,0.9531,3
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': 20, 'clf__learning_rate': 0.1, 'clf__min_samples_leaf': 50}",0.8681,0.8832,0.9334,0.8996,0.9531,1
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.01, 'clf__min_samples_leaf': 20}",0.8599,0.8762,0.9309,0.894,0.9457,5
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.01, 'clf__min_samples_leaf': 50}",0.8599,0.8763,0.9309,0.894,0.9457,7
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': 20, 'clf__learning_rate': 0.01, 'clf__min_samples_leaf': 20}",0.8599,0.8762,0.9309,0.894,0.9457,5
HistGradientBoosting,"{'clf__max_iter': 100, 'clf__max_depth': 20, 'clf__learning_rate': 0.01, 'clf__min_samples_leaf': 50}",0.8599,0.8763,0.9309,0.894,0.9457,7
XGBClassifier,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 10, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.5605,0.5605,1.0,0.7184,0.9345,12
XGBClassifier,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 20, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.7773,0.8315,0.9802,0.867,0.935,10
XGBClassifier,"{'clf__learning_rate': 0.01, 'clf__max_depth': 7, 'clf__n_estimators': 10, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.5605,0.5605,1.0,0.7184,0.9402,8
XGBClassifier,"{'clf__learning_rate': 0.01, 'clf__max_depth': 7, 'clf__n_estimators': 20, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.7812,0.8351,0.9802,0.8695,0.9417,6
XGBClassifier,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 10, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.5605,0.5605,1.0,0.7184,0.9451,4
XGBClassifier,"{'clf__learning_rate': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 20, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.7952,0.847,0.9793,0.8777,0.9467,3
XGBClassifier,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 10, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.8477,0.8719,0.9405,0.8917,0.9349,11
XGBClassifier,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 20, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.859,0.8737,0.927,0.8917,0.9386,9
XGBClassifier,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__n_estimators': 10, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.8518,0.8755,0.9418,0.8945,0.9411,7
XGBClassifier,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__n_estimators': 20, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.8604,0.878,0.934,0.8957,0.9446,5
XGBClassifier,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 10, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.8552,0.8791,0.9441,0.8975,0.9473,2
XGBClassifier,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 20, 'clf__subsample': 0.75, 'clf__colsample_bytree': 0.75}",0.8614,0.8813,0.9393,0.8987,0.9497,1
